,sex, Year_Month.1,Month.1,´-3 SD.1,´-2 SD.1,´-1 SD.1,Median.1,1 SD.1,2 SD.1,3 SD.1
0,girls,05.01,61,11.8,12.7,13.9,15.2,16.9,18.9,21.3
1,girls,05.02,62,11.8,12.7,13.9,15.2,16.9,18.9,21.4
2,girls,05.03,63,11.8,12.7,13.9,15.2,16.9,18.9,21.5
3,girls,05.04,64,11.8,12.7,13.9,15.2,16.9,18.9,21.5
4,girls,05.05,65,11.7,12.7,13.9,15.2,16.9,19.0,21.6
5,girls,05.06,66,11.7,12.7,13.9,15.2,16.9,19.0,21.7
6,girls,05.07,67,11.7,12.7,13.9,15.2,16.9,19.0,21.7
7,girls,05.08,68,11.7,12.7,13.9,15.3,17.0,19.1,21.8
8,girls,05.09,69,11.7,12.7,13.9,15.3,17.0,19.1,21.9
9,girls,05.10,70,11.7,12.7,13.9,15.3,17.0,19.1,22.0
10,girls,05.11,71,11.7,12.7,13.9,15.3,17.0,19.2,22.1
11,girls,06.00,72,11.7,12.7,13.9,15.3,17.0,19.2,22.1
12,girls,06.01,73,11.7,12.7,13.9,15.3,17.0,19.3,22.2
13,girls,06.02,74,11.7,12.7,13.9,15.3,17.0,19.3,22.3
14,girls,06.03,75,11.7,12.7,13.9,15.3,17.1,19.3,22.4
15,girls,06.04,76,11.7,12.7,13.9,15.3,17.1,19.4,22.5
16,girls,06.05,77,11.7,12.7,13.9,15.3,17.1,19.4,22.6
17,girls,06.06,78,11.7,12.7,13.9,15.3,17.1,19.5,22.7
18,girls,06.07,79,11.7,12.7,13.9,15.3,17.2,19.5,22.8
19,girls,06.08,80,11.7,12.7,13.9,15.3,17.2,19.6,22.9
20,girls,06.09,81,11.7,12.7,13.9,15.4,17.2,19.6,23.0
21,girls,06.10,82,11.7,12.7,13.9,15.4,17.2,19.7,23.1
22,girls,06.11,83,11.7,12.7,13.9,15.4,17.3,19.7,23.2
23,girls,07.00,84,11.8,12.7,13.9,15.4,17.3,19.8,23.3
24,girls,07.01,85,11.8,12.7,13.9,15.4,17.3,19.8,23.4
25,girls,07.02,86,11.8,12.8,14.0,15.4,17.4,19.9,23.5
26,girls,07.03,87,11.8,12.8,14.0,15.5,17.4,20.0,23.6
27,girls,07.04,88,11.8,12.8,14.0,15.5,17.4,20.0,23.7
28,girls,07.05,89,11.8,12.8,14.0,15.5,17.5,20.1,23.9
29,girls,07.06,90,11.8,12.8,14.0,15.5,17.5,20.1,24.0
30,girls,07.07,91,11.8,12.8,14.0,15.5,17.5,20.2,24.1
31,girls,07.08,92,11.8,12.8,14.0,15.6,17.6,20.3,24.2
32,girls,07.09,93,11.8,12.8,14.1,15.6,17.6,20.3,24.4
33,girls,07.10,94,11.9,12.9,14.1,15.6,17.6,20.4,24.5
34,girls,07.11,95,11.9,12.9,14.1,15.7,17.7,20.5,24.6
35,girls,08.00,96,11.9,12.9,14.1,15.7,17.7,20.6,24.8
36,girls,08.01,97,11.9,12.9,14.1,15.7,17.8,20.6,24.9
37,girls,08.02,98,11.9,12.9,14.2,15.7,17.8,20.7,25.1
38,girls,08.03,99,11.9,12.9,14.2,15.8,17.9,20.8,25.2
39,girls,08.04,100,11.9,13.0,14.2,15.8,17.9,20.9,25.3
40,girls,08.05,101,12.0,13.0,14.2,15.8,18.0,20.9,25.5
41,girls,08.06,102,12.0,13.0,14.3,15.9,18.0,21.0,25.6
42,girls,08.07,103,12.0,13.0,14.3,15.9,18.1,21.1,25.8
43,girls,08.08,104,12.0,13.0,14.3,15.9,18.1,21.2,25.9
44,girls,08.09,105,12.0,13.1,14.3,16.0,18.2,21.3,26.1
45,girls,08.10,106,12.1,13.1,14.4,16.0,18.2,21.3,26.2
46,girls,08.11,107,12.1,13.1,14.4,16.1,18.3,21.4,26.4
47,girls,09.00,108,12.1,13.1,14.4,16.1,18.3,21.5,26.5
48,girls,09.01,109,12.1,13.2,14.5,16.1,18.4,21.6,26.7
49,girls,09.02,110,12.1,13.2,14.5,16.2,18.4,21.7,26.8
50,girls,09.03,111,12.2,13.2,14.5,16.2,18.5,21.8,27.0
51,girls,09.04,112,12.2,13.2,14.6,16.3,18.6,21.9,27.2
52,girls,09.05,113,12.2,13.3,14.6,16.3,18.6,21.9,27.3
53,girls,09.06,114,12.2,13.3,14.6,16.3,18.7,22.0,27.5
54,girls,09.07,115,12.3,13.3,14.7,16.4,18.7,22.1,27.6
55,girls,09.08,116,12.3,13.4,14.7,16.4,18.8,22.2,27.8
56,girls,09.09,117,12.3,13.4,14.7,16.5,18.8,22.3,27.9
57,girls,09.10,118,12.3,13.4,14.8,16.5,18.9,22.4,28.1
58,girls,09.11,119,12.4,13.4,14.8,16.6,19.0,22.5,28.2
59,girls,10.00,120,12.4,13.5,14.8,16.6,19.0,22.6,28.4
60,girls,10.01,121,12.4,13.5,14.9,16.7,19.1,22.7,28.5
61,girls,10.02,122,12.4,13.5,14.9,16.7,19.2,22.8,28.7
62,girls,10.03,123,12.5,13.6,15.0,16.8,19.2,22.8,28.8
63,girls,10.04,124,12.5,13.6,15.0,16.8,19.3,22.9,29.0
