Age,L,M,S
8.16,-0.6918437,3.208293,0.1766309
8.58,-0.6918437,3.2814565,0.1751922
9.0,-0.6918437,3.35462,0.1737535
9.5,-0.6918437,3.435897,0.17204075
10.0,-0.6918437,3.517174,0.170328
10.5,-0.6918437,3.588249,0.1686153
11.0,-0.6918437,3.659324,0.1669026
11.5,-0.6918437,3.7201335,0.16518985
12.0,-0.6918437,3.780943,0.1634771
12.5,-0.6918437,3.8319855,0.16176435
13.0,-0.6918437,3.883028,0.1600516
13.5,-0.6918437,3.919354,0.15833885
14.0,-0.6918437,3.95568,0.1566261
14.5,-0.6918437,3.9715275,0.1549134
15.0,-0.6918437,3.987375,0.1532007
15.5,-0.6918437,3.986894,0.15148795
16.0,-0.6918437,3.986413,0.1497752
16.5,-0.6918437,3.9792205,0.14806245
17.0,-0.6918437,3.972028,0.1463497
17.5,-0.6918437,3.9623055,0.14463695
18.0,-0.6918437,3.952583,0.1429242
