Age,L,M,S
8.0,-0.103452,2.93701,0.1662752
8.5,-0.103452,2.9852215,0.16665645
9.0,-0.103452,3.033433,0.1670377
9.5,-0.103452,3.080116,0.1674114
10.0,-0.103452,3.126799,0.1677851
10.5,-0.103452,3.168747,0.168146
11.0,-0.103452,3.210695,0.1685069
11.5,-0.103452,3.2499295,0.1688604
12.0,-0.103452,3.289164,0.1692139
12.5,-0.103452,3.32882,0.1695556
13.0,-0.103452,3.368476,0.1698973
13.5,-0.103452,3.406342,0.1702337
14.0,-0.103452,3.444208,0.1705701
14.5,-0.103452,3.476059,0.17092045
15.0,-0.103452,3.50791,0.1712708
15.5,-0.103452,3.5329195,0.17162835
16.0,-0.103452,3.557929,0.1719859
16.5,-0.103452,3.576667,0.1723472
17.0,-0.103452,3.595405,0.1727085
17.5,-0.103452,3.6108345,0.17306655
18.0,-0.103452,3.626264,0.1734246
