,Sex,Age,n,L,M,S
0,Male,12.0,59,0.146,870.1,0.11
1,Male,12.5,161,0.23,881.5,0.113
2,Male,13.0,254,0.282,889.4,0.115
3,Male,13.5,166,0.311,893.6,0.117
4,Male,14.0,179,0.326,912.0,0.118
5,Male,14.5,159,0.338,927.8,0.119
6,Male,15.0,158,0.354,941.6,0.12
7,Male,15.5,156,0.385,944.9,0.121
8,Male,16.0,228,0.439,958.1,0.121
9,Male,16.5,254,0.527,983.9,0.122
10,Male,17.0,224,0.656,1013.7,0.123
11,Male,17.5,156,0.837,1030.7,0.124
12,Male,18.0,71,1.078,1059.8,0.125
13,Male,18.5,47,1.39,1083.0,0.126
14,Female,12.0,60,0.15,841.1,0.117
15,Female,12.5,148,0.279,855.9,0.12
16,Female,13.0,258,0.376,869.9,0.121
17,Female,13.5,164,0.446,883.0,0.123
18,Female,14.0,190,0.495,895.5,0.124
19,Female,14.5,186,0.528,907.3,0.125
20,Female,15.0,200,0.55,918.5,0.126
21,Female,15.5,150,0.565,929.2,0.126
22,Female,16.0,214,0.58,939.5,0.127
23,Female,16.5,182,0.599,949.4,0.127
24,Female,17.0,226,0.627,959.0,0.127
25,Female,17.5,100,0.67,968.4,0.128
26,Female,18.0,77,0.733,977.7,0.128
27,Female,18.5,97,0.821,986.8,0.129
