,sex, Year_Month,Month,-3SD,-2SD,-1SD,Median,1SD,2SD,3SD
0,boys,05.01,61,12.1,13.0,14.1,15.3,16.6,18.3,20.2
1,boys,05.02,62,12.1,13.0,14.1,15.3,16.6,18.3,20.2
2,boys,05.03,63,12.1,13.0,14.1,15.3,16.7,18.3,20.2
3,boys,05.04,64,12.1,13.0,14.1,15.3,16.7,18.3,20.3
4,boys,05.05,65,12.1,13.0,14.1,15.3,16.7,18.3,20.3
5,boys,05.06,66,12.1,13.0,14.1,15.3,16.7,18.4,20.4
6,boys,05.07,67,12.1,13.0,14.1,15.3,16.7,18.4,20.4
7,boys,05.08,68,12.1,13.0,14.1,15.3,16.7,18.4,20.5
8,boys,05.09,69,12.1,13.0,14.1,15.3,16.7,18.4,20.5
9,boys,05.10,70,12.1,13.0,14.1,15.3,16.7,18.5,20.6
10,boys,05.11,71,12.1,13.0,14.1,15.3,16.7,18.5,20.6
11,boys,06.00,72,12.1,13.0,14.1,15.3,16.8,18.5,20.7
12,boys,06.01,73,12.1,13.0,14.1,15.3,16.8,18.6,20.8
13,boys,06.02,74,12.2,13.1,14.1,15.3,16.8,18.6,20.8
14,boys,06.03,75,12.2,13.1,14.1,15.3,16.8,18.6,20.9
15,boys,06.04,76,12.2,13.1,14.1,15.4,16.8,18.7,21.0
16,boys,06.05,77,12.2,13.1,14.1,15.4,16.9,18.7,21.0
17,boys,06.06,78,12.2,13.1,14.1,15.4,16.9,18.7,21.1
18,boys,06.07,79,12.2,13.1,14.1,15.4,16.9,18.8,21.2
19,boys,06.08,80,12.2,13.1,14.2,15.4,16.9,18.8,21.3
20,boys,06.09,81,12.2,13.1,14.2,15.4,17.0,18.9,21.3
21,boys,06.10,82,12.2,13.1,14.2,15.4,17.0,18.9,21.4
22,boys,06.11,83,12.2,13.1,14.2,15.5,17.0,19.0,21.5
23,boys,07.00,84,12.3,13.1,14.2,15.5,17.0,19.0,21.6
24,boys,07.01,85,12.3,13.2,14.2,15.5,17.1,19.1,21.7
25,boys,07.02,86,12.3,13.2,14.2,15.5,17.1,19.1,21.8
26,boys,07.03,87,12.3,13.2,14.3,15.5,17.1,19.2,21.9
27,boys,07.04,88,12.3,13.2,14.3,15.6,17.2,19.2,22.0
28,boys,07.05,89,12.3,13.2,14.3,15.6,17.2,19.3,22.0
29,boys,07.06,90,12.3,13.2,14.3,15.6,17.2,19.3,22.1
30,boys,07.07,91,12.3,13.2,14.3,15.6,17.3,19.4,22.2
31,boys,07.08,92,12.3,13.2,14.3,15.6,17.3,19.4,22.4
32,boys,07.09,93,12.4,13.3,14.3,15.7,17.3,19.5,22.5
33,boys,07.10,94,12.4,13.3,14.4,15.7,17.4,19.6,22.6
34,boys,07.11,95,12.4,13.3,14.4,15.7,17.4,19.6,22.7
35,boys,08.00,96,12.4,13.3,14.4,15.7,17.4,19.7,22.8
36,boys,08.01,97,12.4,13.3,14.4,15.8,17.5,19.7,22.9
37,boys,08.02,98,12.4,13.3,14.4,15.8,17.5,19.8,23.0
38,boys,08.03,99,12.4,13.3,14.4,15.8,17.5,19.9,23.1
39,boys,08.04,100,12.4,13.4,14.5,15.8,17.6,19.9,23.3
40,boys,08.05,101,12.5,13.4,14.5,15.9,17.6,20.0,23.4
41,boys,08.06,102,12.5,13.4,14.5,15.9,17.7,20.1,23.5
42,boys,08.07,103,12.5,13.4,14.5,15.9,17.7,20.1,23.6
43,boys,08.08,104,12.5,13.4,14.5,15.9,17.7,20.2,23.8
44,boys,08.09,105,12.5,13.4,14.6,16.0,17.8,20.3,23.9
45,boys,08.10,106,12.5,13.5,14.6,16.0,17.8,20.3,24.0
46,boys,08.11,107,12.5,13.5,14.6,16.0,17.9,20.4,24.2
47,boys,09.00,108,12.6,13.5,14.6,16.0,17.9,20.5,24.3
48,boys,09.01,109,12.6,13.5,14.6,16.1,18.0,20.5,24.4
49,boys,09.02,110,12.6,13.5,14.7,16.1,18.0,20.6,24.6
50,boys,09.03,111,12.6,13.5,14.7,16.1,18.0,20.7,24.7
51,boys,09.04,112,12.6,13.6,14.7,16.2,18.1,20.8,24.9
52,boys,09.05,113,12.6,13.6,14.7,16.2,18.1,20.8,25.0
53,boys,09.06,114,12.7,13.6,14.8,16.2,18.2,20.9,25.1
54,boys,09.07,115,12.7,13.6,14.8,16.3,18.2,21.0,25.3
55,boys,09.08,116,12.7,13.6,14.8,16.3,18.3,21.1,25.5
56,boys,09.09,117,12.7,13.7,14.8,16.3,18.3,21.2,25.6
57,boys,09.10,118,12.7,13.7,14.9,16.4,18.4,21.2,25.8
58,boys,09.11,119,12.8,13.7,14.9,16.4,18.4,21.3,25.9
59,boys,10.00,120,12.8,13.7,14.9,16.4,18.5,21.4,26.1
60,boys,10.01,121,12.8,13.8,15.0,16.5,18.5,21.5,26.2
61,boys,10.02,122,12.8,13.8,15.0,16.5,18.6,21.6,26.4
62,boys,10.03,123,12.8,13.8,15.0,16.6,18.6,21.7,26.6
63,boys,10.04,124,12.9,13.8,15.0,16.6,18.7,21.7,26.7
64,boys,10.05,125,12.9,13.9,15.1,16.6,18.8,21.8,26.9
65,boys,10.06,126,12.9,13.9,15.1,16.7,18.8,21.9,27.0
66,boys,10.07,127,12.9,13.9,15.1,16.7,18.9,22.0,27.2
67,boys,10.08,128,13.0,13.9,15.2,16.8,18.9,22.1,27.4
68,boys,10.09,129,13.0,14.0,15.2,16.8,19.0,22.2,27.5
69,boys,10.10,130,13.0,14.0,15.2,16.9,19.0,22.3,27.7
70,boys,10.11,131,13.0,14.0,15.3,16.9,19.1,22.4,27.9
71,boys,11.00,132,13.1,14.1,15.3,16.9,19.2,22.5,28.0
72,boys,11.01,133,13.1,14.1,15.3,17.0,19.2,22.5,28.2
73,boys,11.02,134,13.1,14.1,15.4,17.0,19.3,22.6,28.4
74,boys,11.03,135,13.1,14.1,15.4,17.1,19.3,22.7,28.5
75,boys,11.04,136,13.2,14.2,15.5,17.1,19.4,22.8,28.7
76,boys,11.05,137,13.2,14.2,15.5,17.2,19.5,22.9,28.8
77,boys,11.06,138,13.2,14.2,15.5,17.2,19.5,23.0,29.0
78,boys,11.07,139,13.2,14.3,15.6,17.3,19.6,23.1,29.2
79,boys,11.08,140,13.3,14.3,15.6,17.3,19.7,23.2,29.3
80,boys,11.09,141,13.3,14.3,15.7,17.4,19.7,23.3,29.5
81,boys,11.10,142,13.3,14.4,15.7,17.4,19.8,23.4,29.6
82,boys,11.11,143,13.4,14.4,15.7,17.5,19.9,23.5,29.8
83,boys,12.00,144,13.4,14.5,15.8,17.5,19.9,23.6,30.0
84,boys,12.01,145,13.4,14.5,15.8,17.6,20.0,23.7,30.1
85,boys,12.02,146,13.5,14.5,15.9,17.6,20.1,23.8,30.3
86,boys,12.03,147,13.5,14.6,15.9,17.7,20.2,23.9,30.4
87,boys,12.04,148,13.5,14.6,16.0,17.8,20.2,24.0,30.6
88,boys,12.05,149,13.6,14.6,16.0,17.8,20.3,24.1,30.7
89,boys,12.06,150,13.6,14.7,16.1,17.9,20.4,24.2,30.9
