sex, bp_type, Age (years),Height (cm),P50,P75,P90,P95,P97,P99,P99 + 5
boys,systolic,5.5,107,96.3,101.3,106.1,109.2,111.2,115.2,120.2
boys,systolic,5.5,109,96.5,101.5,106.4,109.4,111.5,115.5,120.5
boys,systolic,5.5,111,97,102,106.9,109.9,112,116,121
boys,systolic,5.5,115,97.5,102.5,107.4,110.5,112.6,116.6,121.6
boys,systolic,5.5,118,98,103,108,111.1,113.1,117.2,122.2
boys,systolic,5.5,121,98.4,103.5,108.5,111.6,113.7,117.8,122.8
boys,systolic,5.5,123,98.7,103.8,108.8,111.9,114,118.1,123.1
boys,systolic,6.5,113,97.1,102,106.8,109.8,111.9,115.9,120.9
boys,systolic,6.5,115,97.3,102.3,107.1,110.2,112.2,116.2,121.2
boys,systolic,6.5,118,97.8,102.8,107.7,110.7,112.8,116.8,121.8
boys,systolic,6.5,121,98.4,103.4,108.3,111.3,113.4,117.5,122.5
boys,systolic,6.5,125,99,104,108.9,112,114.1,118.1,123.1
boys,systolic,6.5,128,99.5,104.6,109.5,112.6,114.7,118.8,123.8
boys,systolic,6.5,130,99.8,104.9,109.9,113,115.1,119.2,124.2
boys,systolic,7.5,119,98.1,103.1,107.8,110.9,112.9,116.9,121.9
boys,systolic,7.5,121,98.4,103.4,108.2,111.2,113.3,117.3,122.3
boys,systolic,7.5,124,99,104,108.8,111.9,113.9,118,123
boys,systolic,7.5,128,99.6,104.7,109.5,112.6,114.7,118.7,123.7
boys,systolic,7.5,131,100.3,105.3,110.2,113.3,115.4,119.5,124.5
boys,systolic,7.5,135,100.9,106,110.9,114,116.1,120.2,125.2
boys,systolic,7.5,137,101.2,106.3,111.3,114.4,116.5,120.6,125.6
boys,systolic,8.5,124,99.2,104.2,109.1,112.1,114.2,118.2,123.2
boys,systolic,8.5,126,99.6,104.6,109.5,112.6,114.6,118.7,123.7
boys,systolic,8.5,130,100.2,105.3,110.2,113.3,115.3,119.4,124.4
boys,systolic,8.5,134,100.9,106,111,114.1,116.2,120.3,125.3
boys,systolic,8.5,138,101.7,106.8,111.8,114.9,117,121.1,126.1
boys,systolic,8.5,141,102.3,107.5,112.5,115.7,117.8,121.9,126.9
boys,systolic,8.5,143,102.8,108,113,116.1,118.3,122.4,127.4
