sex,Age,Height,p50,p75,p90,p95
female,14.0,150.0,0.49773,0.52804,0.55706,0.57518
female,14.0,155.0,0.50243,0.53302,0.56231,0.58061
female,14.0,160.0,0.50716,0.53805,0.56761,0.58608
female,14.0,165.0,0.51194,0.54312,0.57296,0.59161
female,14.0,170.0,0.51677,0.54824,0.57837,0.59718
female,14.0,150.0,0.49789,0.52821,0.55724,0.57537
female,14.0,155.0,0.50259,0.53319,0.56249,0.58079
female,14.0,160.0,0.50733,0.53822,0.5678,0.58627
female,14.0,165.0,0.51211,0.54329,0.57315,0.5918
female,14.0,170.0,0.51694,0.54841,0.57855,0.59738
female,14.0,175.0,0.52181,0.55359,0.58401,0.60301
female,15.0,155.0,0.50283,0.53345,0.56277,0.58108
female,15.0,160.0,0.50757,0.53848,0.56807,0.58656
female,15.0,165.0,0.51236,0.54356,0.57343,0.59209
female,15.0,170.0,0.51719,0.54868,0.57883,0.59767
female,15.0,175.0,0.52207,0.55386,0.58429,0.6033
female,15.0,155.0,0.50316,0.5338,0.56314,0.58146
female,15.0,160.0,0.50791,0.53883,0.56844,0.58694
female,15.0,165.0,0.51269,0.54391,0.5738,0.59247
female,15.0,170.0,0.51753,0.54904,0.57921,0.59806
female,15.0,175.0,0.52241,0.55422,0.58467,0.6037
female,16.0,155.0,0.50357,0.53424,0.5636,0.58194
female,16.0,160.0,0.50832,0.53928,0.56891,0.58742
female,16.0,165.0,0.51311,0.54436,0.57427,0.59296
female,16.0,170.0,0.51795,0.54949,0.57969,0.59855
female,16.0,175.0,0.52284,0.55467,0.58515,0.60419
female,16.0,155.0,0.50407,0.53477,0.56415,0.58251
female,16.0,160.0,0.50882,0.53981,0.56947,0.588
female,16.0,165.0,0.51362,0.5449,0.57484,0.59355
female,16.0,170.0,0.51846,0.55004,0.58026,0.59914
female,16.0,175.0,0.52335,0.55522,0.58573,0.60479
female,17.0,155.0,0.50465,0.53538,0.56481,0.58318
female,17.0,160.0,0.50941,0.54043,0.57013,0.58868
female,17.0,165.0,0.51421,0.54553,0.57551,0.59423
female,17.0,170.0,0.51906,0.55067,0.58093,0.59983
female,17.0,175.0,0.52396,0.55586,0.58641,0.60549
female,17.0,155.0,0.50532,0.53609,0.56555,0.58395
female,17.0,160.0,0.51008,0.54115,0.57088,0.58946
female,17.0,165.0,0.51489,0.54625,0.57627,0.59502
