Age (years),L,M,S
6.0,1.444,0.37,0.121
6.5,1.377,0.371,0.121
7.0,1.309,0.372,0.121
7.5,1.239,0.373,0.121
8.0,1.165,0.374,0.12
8.5,1.086,0.375,0.12
9.0,1.004,0.376,0.119
9.5,0.925,0.377,0.119
10.0,0.851,0.378,0.118
10.5,0.787,0.379,0.118
11.0,0.735,0.38,0.118
11.5,0.694,0.381,0.117
12.0,0.667,0.382,0.117
12.5,0.655,0.384,0.117
13.0,0.664,0.386,0.118
13.5,0.695,0.389,0.118
14.0,0.746,0.391,0.118
14.5,0.813,0.393,0.119
15.0,0.89,0.396,0.119
15.5,0.97,0.398,0.119
16.0,1.048,0.4,0.119
16.5,1.124,0.402,0.119
17.0,1.198,0.404,0.119
17.5,1.271,0.406,0.119
18.0,1.342,0.408,0.12
