,Sex,Age,Percentile rank,Grip strength (kg),Source table
0,Boys,6,<5%,5.5,Table 4
1,Boys,7,<5%,7.5,Table 4
2,Boys,8,<5%,6.9,Table 4
3,Boys,9,<5%,8.0,Table 4
4,Boys,10,<5%,10.4,Table 4
5,Boys,11,<5%,11.5,Table 4
6,Boys,12,<5%,11.9,Table 4
7,Boys,13,<5%,15.2,Table 4
8,Boys,14,<5%,20.4,Table 4
9,Boys,15,<5%,22.3,Table 4
10,Boys,16,<5%,19.5,Table 4
11,Boys,17,<5%,29.2,Table 4
12,Boys,18,<5%,27.8,Table 4
13,Boys,6,5%,7.1,Table 4
14,Boys,7,5%,8.5,Table 4
15,Boys,8,5%,9.6,Table 4
16,Boys,9,5%,10.9,Table 4
17,Boys,10,5%,12.9,Table 4
18,Boys,11,5%,14.5,Table 4
19,Boys,12,5%,16.2,Table 4
20,Boys,13,5%,20.6,Table 4
21,Boys,14,5%,24.3,Table 4
22,Boys,15,5%,28.8,Table 4
23,Boys,16,5%,29.9,Table 4
24,Boys,17,5%,31.4,Table 4
25,Boys,18,5%,34.4,Table 4
26,Boys,6,10%,8.0,Table 4
27,Boys,7,10%,9.7,Table 4
28,Boys,8,10%,10.3,Table 4
29,Boys,9,10%,12.5,Table 4
30,Boys,10,10%,14.1,Table 4
31,Boys,11,10%,15.8,Table 4
32,Boys,12,10%,18.0,Table 4
33,Boys,13,10%,22.2,Table 4
34,Boys,14,10%,25.9,Table 4
35,Boys,15,10%,30.4,Table 4
36,Boys,16,10%,33.1,Table 4
37,Boys,17,10%,33.6,Table 4
38,Boys,18,10%,37.4,Table 4
39,Boys,6,20%,8.8,Table 4
40,Boys,7,20%,10.5,Table 4
41,Boys,8,20%,11.3,Table 4
42,Boys,9,20%,13.8,Table 4
43,Boys,10,20%,15.8,Table 4
44,Boys,11,20%,17.8,Table 4
45,Boys,12,20%,19.3,Table 4
46,Boys,13,20%,23.8,Table 4
47,Boys,14,20%,29.6,Table 4
48,Boys,15,20%,32.7,Table 4
49,Boys,16,20%,34.9,Table 4
50,Boys,17,20%,36.0,Table 4
51,Boys,18,20%,39.2,Table 4
52,Boys,6,30%,9.7,Table 4
53,Boys,7,30%,11.3,Table 4
54,Boys,8,30%,12.4,Table 4
55,Boys,9,30%,15.1,Table 4
56,Boys,10,30%,16.9,Table 4
57,Boys,11,30%,18.9,Table 4
58,Boys,12,30%,20.6,Table 4
59,Boys,13,30%,26.0,Table 4
60,Boys,14,30%,31.4,Table 4
61,Boys,15,30%,35.6,Table 4
62,Boys,16,30%,36.7,Table 4
63,Boys,17,30%,39.6,Table 4
64,Boys,18,30%,41.4,Table 4
65,Boys,6,40%,10.2,Table 4
66,Boys,7,40%,12.0,Table 4
67,Boys,8,40%,13.7,Table 4
68,Boys,9,40%,15.6,Table 4
69,Boys,10,40%,17.7,Table 4
70,Boys,11,40%,19.9,Table 4
71,Boys,12,40%,22.1,Table 4
72,Boys,13,40%,27.2,Table 4
73,Boys,14,40%,33.2,Table 4
74,Boys,15,40%,37.3,Table 4
75,Boys,16,40%,38.7,Table 4
76,Boys,17,40%,41.4,Table 4
77,Boys,18,40%,42.6,Table 4
78,Boys,6,50%,10.8,Table 4
79,Boys,7,50%,12.6,Table 4
80,Boys,8,50%,14.4,Table 4
81,Boys,9,50%,16.5,Table 4
82,Boys,10,50%,18.6,Table 4
83,Boys,11,50%,21.2,Table 4
84,Boys,12,50%,23.8,Table 4
85,Boys,13,50%,29.2,Table 4
86,Boys,14,50%,34.3,Table 4
