,Raw-Score,0-100 Score,Age group,Sex,PR,TS
0,10,0.0,8-11,Females,NA,NA
1,10,0.0,8-11,Males,NA,NA
2,10,0.0,12-18,Females,NA,NA
3,10,0.0,12-18,Males,NA,NA
4,11,2.5,8-11,Females,NA,NA
5,11,2.5,8-11,Males,NA,NA
6,11,2.5,12-18,Females,NA,NA
7,11,2.5,12-18,Males,NA,NA
8,12,5.0,8-11,Females,NA,NA
9,12,5.0,8-11,Males,NA,NA
10,12,5.0,12-18,Females,NA,NA
11,12,5.0,12-18,Males,NA,NA
12,13,7.5,8-11,Females,NA,NA
13,13,7.5,8-11,Males,NA,NA
14,13,7.5,12-18,Females,NA,NA
15,13,7.5,12-18,Males,NA,NA
16,14,10.0,8-11,Females,NA,NA
17,14,10.0,8-11,Males,NA,NA
18,14,10.0,12-18,Females,NA,NA
19,14,10.0,12-18,Males,NA,NA
20,15,12.5,8-11,Females,NA,NA
21,15,12.5,8-11,Males,NA,NA
22,15,12.5,12-18,Females,NA,NA
23,15,12.5,12-18,Males,NA,NA
24,16,15.0,8-11,Females,NA,NA
25,16,15.0,8-11,Males,NA,NA
26,16,15.0,12-18,Females,NA,NA
27,16,15.0,12-18,Males,NA,NA
28,17,17.5,8-11,Females,NA,NA
29,17,17.5,8-11,Males,NA,NA
30,17,17.5,12-18,Females,0.3,9.8
31,17,17.5,12-18,Males,NA,NA
32,18,20.0,8-11,Females,NA,NA
33,18,20.0,8-11,Males,NA,NA
34,18,20.0,12-18,Females,0.3,11.6
35,18,20.0,12-18,Males,NA,NA
36,19,22.5,8-11,Females,NA,NA
37,19,22.5,8-11,Males,NA,NA
38,19,22.5,12-18,Females,0.3,13.4
39,19,22.5,12-18,Males,NA,NA
40,20,25.0,8-11,Females,NA,NA
41,20,25.0,8-11,Males,NA,NA
42,20,25.0,12-18,Females,0.5,15.2
43,20,25.0,12-18,Males,NA,NA
44,21,27.5,8-11,Females,NA,NA
45,21,27.5,8-11,Males,NA,NA
46,21,27.5,12-18,Females,0.5,17.0
47,21,27.5,12-18,Males,NA,NA
48,22,30.0,8-11,Females,NA,NA
49,22,30.0,8-11,Males,NA,NA
50,22,30.0,12-18,Females,0.8,18.7
51,22,30.0,12-18,Males,NA,NA
52,23,32.5,8-11,Females,NA,NA
53,23,32.5,8-11,Males,NA,NA
54,23,32.5,12-18,Females,0.8,20.5
55,23,32.5,12-18,Males,NA,NA
56,24,35.0,8-11,Females,NA,NA
57,24,35.0,8-11,Males,NA,NA
58,24,35.0,12-18,Females,1.5,22.3
59,24,35.0,12-18,Males,NA,NA
60,25,37.5,8-11,Females,NA,NA
61,25,37.5,8-11,Males,NA,NA
62,25,37.5,12-18,Females,2.2,24.1
63,25,37.5,12-18,Males,0.5,17.6
64,26,40.0,8-11,Females,NA,NA
65,26,40.0,8-11,Males,0.8,15.0
66,26,40.0,12-18,Females,3.2,25.9
67,26,40.0,12-18,Males,0.5,19.7
68,27,42.5,8-11,Females,NA,NA
69,27,42.5,8-11,Males,0.8,17.1
70,27,42.5,12-18,Females,4.3,27.7
71,27,42.5,12-18,Males,0.8,21.7
72,28,45.0,8-11,Females,0.5,17.7
73,28,45.0,8-11,Males,1.3,19.2
74,28,45.0,12-18,Females,5.7,29.4
75,28,45.0,12-18,Males,1.2,23.8
76,29,47.5,8-11,Females,0.9,19.8
77,29,47.5,8-11,Males,1.3,21.3
78,29,47.5,12-18,Females,6.8,31.2
79,29,47.5,12-18,Males,3.3,25.8
80,30,50.0,8-11,Females,1.5,22.0
81,30,50.0,8-11,Males,1.3,23.4
82,30,50.0,12-18,Females,7.3,33.0
83,30,50.0,12-18,Males,4.7,27.9
84,31,52.5,8-11,Females,2.8,24.1
85,31,52.5,8-11,Males,2.1,25.5
86,31,52.5,12-18,Females,8.5,34.8
87,31,52.5,12-18,Males,5.7,29.9
88,32,55.0,8-11,Females,3.5,26.2
89,32,55.0,8-11,Males,3.1,27.6
90,32,55.0,12-18,Females,10.9,36.6
91,32,55.0,12-18,Males,6.9,32.0
92,33,57.5,8-11,Females,4.5,28.4
93,33,57.5,8-11,Males,4.8,29.7
94,33,57.5,12-18,Females,13.9,38.4
95,33,57.5,12-18,Males,8.3,34.0
96,34,60.0,8-11,Females,6.5,30.5
97,34,60.0,8-11,Males,5.9,31.8
98,34,60.0,12-18,Females,17.8,40.2
99,34,60.0,12-18,Males,10.8,36.1
100,35,62.5,8-11,Females,8.5,32.7
101,35,62.5,8-11,Males,8.2,33.9
102,35,62.5,12-18,Females,19.8,41.9
103,35,62.5,12-18,Males,13.6,38.1
104,36,65.0,8-11,Females,10.2,34.8
105,36,65.0,8-11,Males,10.9,36.0
106,36,65.0,12-18,Females,24.7,43.7
107,36,65.0,12-18,Males,17.7,40.2
108,37,67.5,8-11,Females,12.3,36.9
109,37,67.5,8-11,Males,15.4,38.1
110,37,67.5,12-18,Females,29.5,45.5
111,37,67.5,12-18,Males,22.8,42.3
112,38,70.0,8-11,Females,16.0,39.1
113,38,70.0,8-11,Males,20.2,40.2
114,38,70.0,12-18,Females,37.7,47.3
115,38,70.0,12-18,Males,27.5,44.3
116,39,72.5,8-11,Females,18.4,41.2
117,39,72.5,8-11,Males,25.0,42.3
118,39,72.5,12-18,Females,44.3,49.1
119,39,72.5,12-18,Males,35.3,46.4
120,40,75.0,8-11,Females,22.4,43.3
121,40,75.0,8-11,Males,28.5,44.4
122,40,75.0,12-18,Females,50.2,50.9
123,40,75.0,12-18,Males,42.7,48.4
124,41,77.5,8-11,Females,30.6,45.5
125,41,77.5,8-11,Males,35.7,46.5
126,41,77.5,12-18,Females,60.1,52.6
127,41,77.5,12-18,Males,52.1,50.5
128,42,80.0,8-11,Females,40.1,47.6
129,42,80.0,8-11,Males,43.9,48.6
130,42,80.0,12-18,Females,67.9,54.4
131,42,80.0,12-18,Males,61.3,52.5
132,43,82.5,8-11,Females,50.4,49.8
133,43,82.5,8-11,Males,50.4,50.7
134,43,82.5,12-18,Females,74.8,56.2
135,43,82.5,12-18,Males,67.9,54.6
136,44,85.0,8-11,Females,57.2,51.9
137,44,85.0,8-11,Males,59.7,52.8
138,44,85.0,12-18,Females,81.1,58.0
139,44,85.0,12-18,Males,75.8,56.6
140,45,87.5,8-11,Females,64.7,54.0
141,45,87.5,8-11,Males,69.3,54.9
142,45,87.5,12-18,Females,87.3,59.8
143,45,87.5,12-18,Males,84.0,58.7
144,46,90.0,8-11,Females,73.9,56.2
145,46,90.0,8-11,Males,78.2,57.0
146,46,90.0,12-18,Females,91.6,61.6
147,46,90.0,12-18,Males,89.4,60.7
148,47,92.5,8-11,Females,81.7,58.3
149,47,92.5,8-11,Males,83.3,59.1
150,47,92.5,12-18,Females,95.7,63.4
151,47,92.5,12-18,Males,94.1,62.8
152,48,95.0,8-11,Females,88.2,60.4
153,48,95.0,8-11,Males,91.1,61.2
154,48,95.0,12-18,Females,98.7,65.1
155,48,95.0,12-18,Males,97.2,64.8
156,49,97.5,8-11,Females,94.9,62.6
157,49,97.5,8-11,Males,96.2,63.3
158,49,97.5,12-18,Females,99.6,66.9
159,49,97.5,12-18,Males,99.0,66.9
160,50,100.0,8-11,Females,100.0,64.7
161,50,100.0,8-11,Males,100.0,65.4
162,50,100.0,12-18,Females,100.0,68.7
163,50,100.0,12-18,Males,100.0,68.9
