Age,L,M,S
8.0,0.7198903,45.60843,0.1225699
8.5,0.7198903,46.10422,0.1227899
9.0,0.7198903,46.60001,0.1230099
9.5,0.7198903,47.054605,0.12322995
10.0,0.7198903,47.5092,0.12345
10.5,0.7198903,47.851825,0.12367
11.0,0.7198903,48.19445,0.12389
11.5,0.7198903,48.43505,0.12411
12.0,0.7198903,48.67565,0.12433
12.5,0.7198903,48.87173,0.12455
13.0,0.7198903,49.06781,0.12477
13.5,0.7198903,49.19721,0.12499
14.0,0.7198903,49.32661,0.12521
14.5,0.7198903,49.32027,0.12543
15.0,0.7198903,49.31393,0.12565
15.5,0.7198903,49.172395,0.12587
16.0,0.7198903,49.03086,0.12609
16.5,0.7198903,48.805915,0.12631005
17.0,0.7198903,48.58097,0.1265301
17.5,0.7198903,48.30935,0.1267501
18.0,0.7198903,48.03773,0.1269701
