Age,L,M,S
8.0,0.7265509,39.58156,0.1121695
8.5,0.7265509,39.81146,0.114596
9.0,0.7265509,40.04136,0.1170225
9.5,0.7265509,40.257865,0.11944925
10.0,0.7265509,40.47437,0.121876
10.5,0.7265509,40.64493,0.12430425
11.0,0.7265509,40.81549,0.1267325
11.5,0.7265509,40.96958,0.1291837
12.0,0.7265509,41.12367,0.1316349
12.5,0.7265509,41.273085,0.1341266
13.0,0.7265509,41.4225,0.1366183
13.5,0.7265509,41.55895,0.13915805
14.0,0.7265509,41.6954,0.1416978
14.5,0.7265509,41.78817,0.1442881
15.0,0.7265509,41.88094,0.1468784
15.5,0.7265509,41.91419,0.1495051
16.0,0.7265509,41.94744,0.1521318
16.5,0.7265509,41.908465,0.1547792
17.0,0.7265509,41.86949,0.1574266
17.5,0.7265509,41.782325,0.16008035
18.0,0.7265509,41.69516,0.1627341
