sex,aMin,aMax,mean,sd,upper_cutoff,lower_cutoff,p40_u,p90,p100,p70,p40,p20,p0



boys, 6.0, 6.5,10.48,1.05,11.53,9.43,>=12.53,12.53 - 11.53,11.53 - 9.43,9.43 - 8.43,8.43 - 7.43,7.43 - 6.43,<=6.43
boys, 6.5, 7.0,10.45,0.83,11.28,9.62,>=12.28,12.28 - 11.28,11.28 - 9.62,9.62 - 8.62,8.62 - 7.62,7.62 - 6.62,<=6.62
boys, 7.0, 7.5,10.27,0.78,11.05,9.49,>=12.05,12.05 - 11.05,11.05 - 9.49,9.49 - 8.49,8.49 - 7.49,7.49 - 6.49,<=6.49
boys, 7.5, 8.0,10.12,0.92,11.04,9.20,>=12.04,12.04 - 11.04,11.04 - 9.20,9.20 - 8.20,8.20 - 7.20,7.20 - 6.20,<=6.20
boys, 8.0, 8.5,10.05,0.92,10.97,9.13,>=11.97,11.97 - 10.97,10.97 - 9.13,9.13 - 8.13,8.13 - 7.13,7.13 - 6.13,<=6.13
boys, 8.5, 9.0,9.88,0.85,10.73,9.03,>=11.73,11.73 - 10.73,10.73 - 9.03,9.03 - 8.03,8.03 - 7.03,7.03 - 6.03,<=6.03
boys, 9.0, 9.5,9.86,0.83,10.69,9.03,>=11.69,11.69 - 10.69,10.69 - 9.03,9.03 - 8.03,8.03 - 7.03,7.03 - 6.03,<=6.03
boys, 9.5, 10.0,9.84,0.84,10.68,9.00,>=11.68,11.68 - 10.68,10.68 - 9.00,9.00 - 8.00,8.00 - 7.00,7.00 - 6.00,<=6.00
boys, 10.0, 10.5,9.59,0.79,10.38,8.80,>=11.38,11.38 - 10.38,10.38 - 8.80,8.80 - 7.80,7.80 - 6.80,6.80 - 5.80,<=5.80
boys, 10.5, 11.0,9.49,0.79,10.28,8.70,>=11.28,11.28 - 10.28,10.28 - 8.70,8.70 - 7.70,7.70 - 6.70,6.70 - 5.70,<=5.70
boys, 11.0, 11.5,9.41,1.40,10.81,8.01,>=11.81,11.81 - 10.81,10.81 - 8.01,8.01 - 7.01,7.01 - 6.01,6.01 - 5.01,<=5.01
boys, 11.5, 12.0,9.38,1.56,10.94,7.82,>=11.94,11.94 - 10.94,10.94 - 7.82,7.82 - 6.82,6.82 - 5.82,5.82 - 4.82,<=4.82
boys, 12.0, 12.5,9.30,1.50,10.80,7.80,>=11.80,11.80 - 10.80,10.80 - 7.80,7.80 - 6.80,6.80 - 5.80,5.80 - 4.80,<=4.80
boys, 12.5, 13.0,8.97,1.21,10.18,7.76,>=11.18,11.18 - 10.18,10.18 - 7.76,7.76 - 6.76,6.76 - 5.76,5.76 - 4.76,<=4.76
boys, 13.0, 13.5,8.95,1.43,10.38,7.52,>=11.38,11.38 - 10.38,10.38 - 7.52,7.52 - 6.52,6.52 - 5.52,5.52 - 4.52,<=4.52
boys, 13.5, 14.0,8.81,1.31,10.12,7.50,>=11.12,11.12 - 10.12,10.12 - 7.50,7.50 - 6.50,6.50 - 5.50,5.50 - 4.50,<=4.50
boys, 14.0, 14.5,8.70,1.45,10.15,7.25,>=11.15,11.15 - 10.15,10.15 - 7.25,7.25 - 6.25,6.25 - 5.25,5.25 - 4.25,<=4.25
